index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
186	None	It takes a while but I'm able to subtract a lot of things from my list.	  Negative	-1	-0.54545	-0.47619	-0.221167341
187	None	"I add things, cross them off, then add a whole other bunch and cross them off, too."	  Negative	-1	-0.54545	-0.42857	-0.173547341
188	None	My fifteenth birthday is the ideal time to run away from home.	  Positive	1	-0.63636	-0.42857	-0.173547341
189	None	Any earlier and it'd be too soon.	  Negative	-1	-0.54545	-0.47619	-0.221167341
190	None	Any later and I would have missed my chance.	  Negative	-1	-0.54545	-0.47619	-0.221167341
191	None	"During my first two years in junior high, I'd worked out, training myself for this day."	  Negative	-1	-0.45455	-0.42857	-0.173547341
192	None	"I started practicing judo in the first couple years of grade school, and still went sometimes in junior high."	  Neutral	0	-0.27273	-0.47619	-0.221167341
193	None	But I didn't join any school teams.	  Neutral	0	-0.27273	-0.57143	-0.316407341
194	None	"Whenever I had the time I'd jog around the school grounds, swim, or go to the local gym."	  Negative	-1	-0.45455	-0.42857	-0.173547341
195	None	"The young trainers there gave me free lessons, showing me the best kind of stretching exercises and how to use the fitness machines to bulk up."	  Neutral	0	-0.45455	-0.42857	-0.173547341
196	None	"They taught me which muscles you use every day and which ones can only be built up with machines, even the correct way to do a bench press."	  Neutral	0	-0.36364	-0.42857	-0.173547341
197	None	"I'm pretty tall to begin with, and with all this exercise I've developed pretty broad shoulders and pecs."	  Positive	1	-0.36364	-0.38095	-0.125927341
198	None	Most strangers would take me for seventeen.	  Negative	-1	-0.45455	-0.33333	-0.078307341
199	None	"If I ran away looking my actual age, you can imagine all the problems that would cause."	  Negative	-1	-0.36364	-0.38095	-0.125927341
200	None	Other than the trainers at the gym and the housekeeper who comes to our house every other day--and of course the bare minimum required to get by at school--I barely talk to anyone.	  Negative	-1	-0.27273	-0.38095	-0.125927341
201	None	For a long time my father and I have avoided seeing each other.	  Neutral	0	-0.36364	-0.38095	-0.125927341
202	None	"We live under the same roof, but our schedules are totally different."	  Negative	-1	-0.36364	-0.33333	-0.078307341
203	None	"He spends most of his time in his studio, far away, and I do my best to avoid him."	  Negative	-1	-0.45455	-0.38095	-0.125927341
204	None	"The school I'm going to is a private junior high for kids who are upper-class, or at least rich."	  Positive	1	-0.36364	-0.38095	-0.125927341
205	None	"It's the kind of school where, unless you really blow it, you're automatically promoted to the high school on the same campus."	  Neutral	0	-0.36364	-0.38095	-0.125927341
206	None	"All the students dress neatly, have nice straight teeth, and are boring as hell."	  Negative	-1	-0.36364	-0.42857	-0.173547341
207	None	Naturally I have zero friends.	  Neutral	0	-0.36364	-0.42857	-0.173547341
208	None	"I've built a wall around me, never letting anybody inside and trying not to venture outside myself."	  Neutral	0	-0.36364	-0.52381	-0.268787341
209	None	Who could like somebody like that?	  Neutral	0	-0.27273	-0.47619	-0.221167341
